epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.334,1.46906,4.015,1.96839,0.39496,0.48339,0.3737,0.17121,1.25,10.0548,2.40075,0.0001111,0.0001111,0.0001111
2,488.297,0.96597,2.24436,1.49331,0.80662,0.55,0.75682,0.52716,1.20178,2.43348,2.0609,0.00022869,0.00022869,0.00022869
3,705.783,0.86684,1.58586,1.34843,0.68992,0.89478,0.79844,0.62566,0.90973,3.35074,1.73838,0.000341441,0.000341441,0.000341441
4,947.878,0.92529,1.23298,1.41411,0.53016,0.72146,0.55954,0.39244,1.1629,5.97933,1.93705,0.000449353,0.000449353,0.000449353
5,1167.99,0.97397,1.19532,1.42133,0.63745,0.53333,0.59532,0.45895,0.93895,3.24417,1.83968,0.000552425,0.000552425,0.000552425
6,1384.91,0.9706,1.06828,1.42789,0.37739,0.467,0.46762,0.31467,1.13522,4.55781,1.81339,0.000650657,0.000650657,0.000650657
7,1611.94,0.94004,1.13796,1.41973,0.30945,0.94986,0.42995,0.30403,1.06631,8.0233,2.11886,0.00074405,0.00074405,0.00074405
8,2047.23,0.95174,0.99696,1.37843,0.58167,0.75652,0.68002,0.46417,1.09183,1.58844,1.97048,0.000832603,0.000832603,0.000832603
9,2276.11,0.95619,0.99046,1.39548,0.60492,0.9036,0.70913,0.47958,1.17698,1.35948,1.99413,0.000916317,0.000916317,0.000916317
10,2518.84,0.93893,0.97601,1.38854,0.50973,0.8,0.75706,0.49325,1.11066,1.62947,1.97384,0.00091302,0.00091302,0.00091302
11,2732.61,0.89292,0.88525,1.34048,0.538,0.73183,0.51714,0.3154,1.24402,3.21832,1.91576,0.000891022,0.000891022,0.000891022
12,2975.42,0.87558,0.88129,1.36342,0.40303,0.86667,0.60589,0.4537,0.96454,2.70897,1.69799,0.000869024,0.000869024,0.000869024
13,3215.16,0.88391,0.90152,1.32113,0.67936,0.86667,0.89299,0.72273,0.84202,1.23457,1.72649,0.000847026,0.000847026,0.000847026
14,3446.81,0.86659,0.81521,1.34019,0.79764,0.93333,0.91529,0.69241,0.94433,1.47594,1.90221,0.000825029,0.000825029,0.000825029
15,3652.46,0.87154,0.8278,1.30266,0.79684,0.84535,0.88792,0.66023,0.87077,0.90375,1.70021,0.000803031,0.000803031,0.000803031
16,3876.31,0.86252,0.73099,1.32833,0.72577,0.83627,0.8858,0.68255,1.00732,1.13589,1.81318,0.000781033,0.000781033,0.000781033
17,4094.86,0.81613,0.736,1.29757,0.77605,0.8594,0.887,0.72081,0.78794,0.78788,1.5208,0.000759035,0.000759035,0.000759035
18,4318.64,0.83899,0.65114,1.30335,0.78306,0.84669,0.87037,0.69031,0.90153,0.79224,1.66432,0.000737037,0.000737037,0.000737037
19,4545.27,0.81534,0.66103,1.28624,0.74046,0.86667,0.85324,0.68073,0.90351,0.86212,1.67307,0.00071504,0.00071504,0.00071504
